ProID,Info,,time,Vol.,
GenTime,2014-03-25 15:09,,0.000000e+00,4.380000e-01,
FileName,LRC2CH1.csv,,8.000000e-09,4.380000e-01,
Record Length,35000.000000 Points,,1.600000e-08,4.380000e-01,
Sample Interval,8.000000e-09 s,,2.400000e-08,4.380000e-01,
Trigger Time,5.132000e-04 S,,3.200000e-08,4.380000e-01,
Source,CH1,,4.000000e-08,4.380000e-01,
Vertical Units,V/grid,,4.800000e-08,4.380000e-01,
Vertical Scale,1.000000e-01,,5.600000e-08,4.380000e-01,
Vertical Offset,-1.000000e+00,,6.400000e-08,4.380000e-01,
Horizontal Units,s/grid,,7.200000e-08,4.380000e-01,
Horizontal Scale,2.000000e-05,,8.000000e-08,4.380000e-01,
Probe Atten,1.000000e+00,,8.800000e-08,4.380000e-01,
,,,9.600000e-08,4.380000e-01,
,,,1.040000e-07,4.380000e-01,
,,,1.120000e-07,4.380000e-01,
,,,1.200000e-07,4.380000e-01,
,,,1.280000e-07,4.380000e-01,
,,,1.360000e-07,4.380000e-01,
,,,1.440000e-07,4.380000e-01,
,,,1.520000e-07,4.380000e-01,
,,,1.600000e-07,4.380000e-01,
,,,1.680000e-07,4.380000e-01,
,,,1.760000e-07,4.380000e-01,
,,,1.840000e-07,4.380000e-01,
,,,1.920000e-07,4.380000e-01,
,,,2.000000e-07,4.380000e-01,
,,,2.080000e-07,4.380000e-01,
,,,2.160000e-07,4.380000e-01,
,,,2.240000e-07,4.380000e-01,
,,,2.320000e-07,4.380000e-01,
,,,2.400000e-07,4.380000e-01,
,,,2.480000e-07,4.380000e-01,
,,,2.560000e-07,4.380000e-01,
,,,2.640000e-07,4.380000e-01,
,,,2.720000e-07,4.380000e-01,
,,,2.800000e-07,4.380000e-01,
,,,2.880000e-07,4.380000e-01,
,,,2.960000e-07,4.380000e-01,
,,,3.040000e-07,4.380000e-01,
,,,3.120000e-07,4.380000e-01,
,,,3.200000e-07,4.380000e-01,
,,,3.280000e-07,4.380000e-01,
,,,3.360000e-07,4.380000e-01,
,,,3.440000e-07,4.380000e-01,
,,,3.520000e-07,4.380000e-01,
,,,3.600000e-07,4.380000e-01,
,,,3.680000e-07,4.380000e-01,
,,,3.760000e-07,4.380000e-01,
,,,3.840000e-07,4.380000e-01,
,,,3.920000e-07,4.380000e-01,
,,,4.000000e-07,4.380000e-01,
